truck_number,plate,brand
1,1ฒถ 8966,ISUZU
3,1ฒฒ 2696,ISUZU
5,1ฒถ 2085,ISUZU
6,1ฒถ 2090,ISUZU
7,1ฒถ 8960,ISUZU
8,1ฒถ 8961,ISUZU
9,1ฒถ 8975,ISUZU
10,1ฒบ 6252,ISUZU
11,1ฒบ 6251,ISUZU
15,1ฒบ 6254,ISUZU
16,1ฒถ 2091,ISUZU
18,1ฒย 4267,ISUZU
19,1ฒย 4274,ISUZU
20,1ฒย 4270,ISUZU
25,84-2051,HINO
27,84-2682,ISUZU
30,84-3954,HINO
31,84-4607,HINO
32,84-4618,ISUZU
35,84-4771,ISUZU
38,84-7169,HINO
44,1ฒห 6200,ISUZU
45,1ฒห 6199,ISUZU
46,1ฒฬ 4856,ISUZU
48,1ฒฬ 4880,ISUZU
50,2ฒฉ 3728,ISUZU
51,2ฒฉ 3729,ISUZU
52,2ฒฉ 3732,ISUZU
53,2ฒฉ 3733,ISUZU
55,3ฒฆ-8584,TOYOTA
57,3ฒฆ-8580,TOYOTA
83-2919,83-2919,ISUZU
